2025-01-12 03:51:16,893 - aiokafka.consumer.subscription_state - INFO - Updating subscribed topics to: frozenset({'my-topic'})
2025-01-12 03:51:16,973 - aiokafka.consumer.group_coordinator - INFO - Discovered coordinator 1 for group my-group-test-1
2025-01-12 03:51:16,973 - aiokafka.consumer.group_coordinator - INFO - Revoking previously assigned partitions set() for group my-group-test-1
2025-01-12 03:51:16,973 - aiokafka.consumer.group_coordinator - INFO - (Re-)joining group my-group-test-1
2025-01-12 03:51:16,991 - aiokafka.consumer.group_coordinator - INFO - Joined group 'my-group-test-1' (generation 13) with member_id aiokafka-0.12.0-b2563333-e016-42fc-b248-042e03d331f3
2025-01-12 03:51:16,991 - aiokafka.consumer.group_coordinator - INFO - Elected group leader -- performing partition assignments using roundrobin
2025-01-12 03:51:17,002 - aiokafka.consumer.group_coordinator - INFO - Successfully synced group my-group-test-1 with generation 13
2025-01-12 03:51:17,002 - aiokafka.consumer.group_coordinator - INFO - Setting newly assigned partitions {TopicPartition(topic='my-topic', partition=0)} for group my-group-test-1
2025-01-12 03:53:36,834 - root - INFO - get: Это цифра 1649, 03:53:36.834875
2025-01-12 03:53:38,841 - root - INFO - get: Это цифра 1650, 03:53:38.841380
2025-01-12 03:53:40,842 - root - INFO - get: Это цифра 1651, 03:53:40.842564
2025-01-12 03:53:42,851 - root - INFO - get: Это цифра 1652, 03:53:42.851511
2025-01-12 03:53:44,854 - root - INFO - get: Это цифра 1653, 03:53:44.854261
2025-01-12 03:53:46,857 - root - INFO - get: Это цифра 1654, 03:53:46.857859
2025-01-12 03:53:48,864 - root - INFO - get: Это цифра 1655, 03:53:48.864115
2025-01-12 03:53:50,868 - root - INFO - get: Это цифра 1656, 03:53:50.868498
2025-01-12 03:53:52,878 - root - INFO - get: Это цифра 1657, 03:53:52.877999
2025-01-12 03:53:54,882 - root - INFO - get: Это цифра 1658, 03:53:54.882738
2025-01-12 03:53:56,885 - root - INFO - get: Это цифра 1659, 03:53:56.885728
2025-01-12 03:53:58,890 - root - INFO - get: Это цифра 1660, 03:53:58.890096
2025-01-12 03:54:00,900 - root - INFO - get: Это цифра 1661, 03:54:00.900744
2025-01-12 03:54:02,902 - root - INFO - get: Это цифра 1662, 03:54:02.902036
2025-01-12 03:54:04,909 - root - INFO - get: Это цифра 1663, 03:54:04.909059
2025-01-12 03:54:06,918 - root - INFO - get: Это цифра 1664, 03:54:06.918771
2025-01-12 03:54:08,925 - root - INFO - get: Это цифра 1665, 03:54:08.925255
2025-01-12 03:54:10,930 - root - INFO - get: Это цифра 1666, 03:54:10.930408
2025-01-12 03:54:12,935 - root - INFO - get: Это цифра 1667, 03:54:12.935310
2025-01-12 03:54:14,940 - root - INFO - get: Это цифра 1668, 03:54:14.940672
2025-01-12 03:54:16,949 - root - INFO - get: Это цифра 1669, 03:54:16.949271
2025-01-12 03:54:18,957 - root - INFO - get: Это цифра 1670, 03:54:18.957867
2025-01-12 03:54:20,961 - root - INFO - get: Это цифра 1671, 03:54:20.961563
2025-01-12 03:54:22,961 - root - INFO - get: Это цифра 1672, 03:54:22.961358
2025-01-12 03:54:24,970 - root - INFO - get: Это цифра 1673, 03:54:24.969935
2025-01-12 03:54:26,973 - root - INFO - get: Это цифра 1674, 03:54:26.973707
2025-01-12 03:54:28,979 - root - INFO - get: Это цифра 1675, 03:54:28.979377
2025-01-12 03:54:30,985 - root - INFO - get: Это цифра 1676, 03:54:30.984981
2025-01-12 03:54:32,990 - root - INFO - get: Это цифра 1677, 03:54:32.990539
2025-01-12 03:54:34,994 - root - INFO - get: Это цифра 1678, 03:54:34.994868
2025-01-12 03:54:37,004 - root - INFO - get: Это цифра 1679, 03:54:37.003927
2025-01-12 03:54:39,013 - root - INFO - get: Это цифра 1680, 03:54:39.012935
2025-01-12 03:54:41,015 - root - INFO - get: Это цифра 1681, 03:54:41.015167
2025-01-12 03:54:43,023 - root - INFO - get: Это цифра 1682, 03:54:43.022897
2025-01-12 03:54:45,030 - root - INFO - get: Это цифра 1683, 03:54:45.030411
2025-01-12 03:54:47,039 - root - INFO - get: Это цифра 1684, 03:54:47.039427
2025-01-12 03:54:49,046 - root - INFO - get: Это цифра 1685, 03:54:49.046110
2025-01-12 03:54:51,050 - root - INFO - get: Это цифра 1686, 03:54:51.049830
2025-01-12 03:54:53,069 - root - INFO - get: Это цифра 1687, 03:54:53.069235
2025-01-12 03:54:55,079 - root - INFO - get: Это цифра 1688, 03:54:55.079884
2025-01-12 03:54:57,081 - root - INFO - get: Это цифра 1689, 03:54:57.081621
2025-01-12 03:54:59,088 - root - INFO - get: Это цифра 1690, 03:54:59.088596
2025-01-12 03:55:01,094 - root - INFO - get: Это цифра 1691, 03:55:01.094670
2025-01-12 03:55:03,099 - root - INFO - get: Это цифра 1692, 03:55:03.099498
2025-01-12 03:55:05,108 - root - INFO - get: Это цифра 1693, 03:55:05.108716
2025-01-12 03:55:07,168 - root - INFO - get: Это цифра 1694, 03:55:07.168282
2025-01-12 03:55:09,191 - root - INFO - get: Это цифра 1695, 03:55:09.191125
2025-01-12 03:55:11,206 - root - INFO - get: Это цифра 1696, 03:55:11.206792
2025-01-12 03:55:13,209 - root - INFO - get: Это цифра 1697, 03:55:13.209552
2025-01-12 03:55:15,223 - root - INFO - get: Это цифра 1698, 03:55:15.223737
2025-01-12 03:55:17,233 - root - INFO - get: Это цифра 1699, 03:55:17.233085
2025-01-12 03:55:19,242 - root - INFO - get: Это цифра 1700, 03:55:19.241925
2025-01-12 03:55:21,250 - root - INFO - get: Это цифра 1701, 03:55:21.250185
2025-01-12 03:55:23,255 - root - INFO - get: Это цифра 1702, 03:55:23.255886
2025-01-12 03:55:25,262 - root - INFO - get: Это цифра 1703, 03:55:25.262027
2025-01-12 03:55:27,268 - root - INFO - get: Это цифра 1704, 03:55:27.268658
2025-01-12 03:55:29,272 - root - INFO - get: Это цифра 1705, 03:55:29.272357
2025-01-12 03:55:31,279 - root - INFO - get: Это цифра 1706, 03:55:31.278966
2025-01-12 03:55:33,284 - root - INFO - get: Это цифра 1707, 03:55:33.284898
2025-01-12 03:55:35,292 - root - INFO - get: Это цифра 1708, 03:55:35.292682
2025-01-12 03:55:37,293 - root - INFO - get: Это цифра 1709, 03:55:37.293752
2025-01-12 03:55:39,308 - root - INFO - get: Это цифра 1710, 03:55:39.308256
2025-01-12 03:55:41,328 - root - INFO - get: Это цифра 1711, 03:55:41.327945
2025-01-12 03:55:43,337 - root - INFO - get: Это цифра 1712, 03:55:43.337246
2025-01-12 03:55:45,348 - root - INFO - get: Это цифра 1713, 03:55:45.348034
2025-01-12 03:55:47,348 - root - INFO - get: Это цифра 1714, 03:55:47.348186
2025-01-12 03:55:49,353 - root - INFO - get: Это цифра 1715, 03:55:49.353743
2025-01-12 03:55:51,364 - root - INFO - get: Это цифра 1716, 03:55:51.364107
2025-01-12 03:55:53,371 - root - INFO - get: Это цифра 1717, 03:55:53.371628
2025-01-12 03:55:55,384 - root - INFO - get: Это цифра 1718, 03:55:55.384624
2025-01-12 03:55:57,383 - root - INFO - get: Это цифра 1719, 03:55:57.383129
2025-01-12 03:55:59,389 - root - INFO - get: Это цифра 1720, 03:55:59.389683
2025-01-12 03:56:01,393 - root - INFO - get: Это цифра 1721, 03:56:01.393162
2025-01-12 03:56:03,402 - root - INFO - get: Это цифра 1722, 03:56:03.401994
2025-01-12 03:56:05,405 - root - INFO - get: Это цифра 1723, 03:56:05.404905
2025-01-12 03:56:07,405 - root - INFO - get: Это цифра 1724, 03:56:07.405889
2025-01-12 03:56:09,418 - root - INFO - get: Это цифра 1725, 03:56:09.418246
2025-01-12 03:56:11,419 - root - INFO - get: Это цифра 1726, 03:56:11.419800
2025-01-12 03:56:13,426 - root - INFO - get: Это цифра 1727, 03:56:13.426309
